"Especie","Está en POWO:","Está en GBIF:","Es un nuevo registro","URL POWO"
"Acacia baileyana","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:469798-1"
"Acacia podalyriifolia","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:76522-3"
"Albizia inundata","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77303820-1"
"Albizia julibrissin","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:473275-1"
"Angelphytum grisebachii","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60444807-2"
"Austroeupatorium laetevirens","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:27150-2"
"Baccharis jocheniana","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77094504-1"
"Barrosoa candolleana","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:29633-2"
"Bauhinia variegata","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481756-1"
"Bidens aurea","Introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:32316-2"
"Bidens laevis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:32497-2"
"Bidens subalternans","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:185264-1"
"Brasiliopuntia brasiliensis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:129102-1"
"Brugmansia arborea","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77109574-1"
"Brugmansia suaveolens","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77109576-1"
"Brunfelsia australis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:37517-2"
"Brunfelsia pauciflora","No está","No está","SI","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:814676-1"
"Calea cymosa","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:187610-1"
"Calea uniflora","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:187795-1"
"Calendula officinalis","Introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:187894-1"
"Calyptocarpus brasiliensis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273932-2"
"Carduus nutans","Introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188890-1"
"Cereus hildmannianus","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:53030-2"
"Chromolaena callilepis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:57370-2"
