"","class","species","n"
"1","Amphibia","Boana pulchella",232
"2","Amphibia","Dendropsophus minutus",3
"3","Amphibia","Dendropsophus nanus",2
"4","Amphibia","Dendropsophus sanborni",32
"5","Amphibia","Elachistocleis bicolor",34
"6","Amphibia","Julianus uruguayus",6
"7","Amphibia","Leptodactylus gracilis",39
"8","Amphibia","Leptodactylus latinasus",63
"9","Amphibia","Leptodactylus luctator",183
"10","Amphibia","Leptodactylus macrosternum",9
"11","Amphibia","Leptodactylus mystacinus",52
"12","Amphibia","Limnomedusa macroglossa",25
"13","Amphibia","Lithobates catesbeianus",8
"14","Amphibia","Lysapsus limellum",3
"15","Amphibia","Melanophryniscus atroluteus",4
"16","Amphibia","Melanophryniscus devincenzii",2
"17","Amphibia","Melanophryniscus montevidensis",77
"18","Amphibia","Melanophryniscus pachyrhynus",1
"19","Amphibia","Ololygon berthae",2
"20","Amphibia","Phyllomedusa iheringii",27
"21","Amphibia","Physalaemus biligonigerus",29
"22","Amphibia","Physalaemus gracilis",32
"23","Amphibia","Physalaemus henselii",4
"24","Amphibia","Physalaemus riograndensis",6
"25","Amphibia","Pseudis minuta",75
"26","Amphibia","Pseudopaludicola falcipes",56
"27","Amphibia","Rhinella achavali",2
"28","Amphibia","Rhinella arenarum",130
"29","Amphibia","Rhinella diptycha",53
"30","Amphibia","Rhinella dorbignyi",133
"31","Amphibia","Scinax fuscovarius",13
"32","Amphibia","Scinax granulatus",119
"33","Amphibia","Scinax nasicus",24
"34","Amphibia","Scinax squalirostris",20
"35","Aves","Accipiter bicolor",20
"36","Aves","Accipiter striatus",20
"37","Aves","Actitis macularius",4
"38","Aves","Aegolius harrisii",2
"39","Aves","Agapornis personatus",3
"40","Aves","Agelaioides badius",95
"41","Aves","Agelasticus cyanopus",1
"42","Aves","Agelasticus thilius",41
"43","Aves","Agriornis murinus",1
"44","Aves","Alopochelidon fucata",11
"45","Aves","Amazona aestiva",2
"46","Aves","Amazonetta brasiliensis",106
"47","Aves","Amblyramphus holosericeus",44
"48","Aves","Ammodramus humeralis",54
"49","Aves","Anairetes flavirostris",2
"50","Aves","Anas bahamensis",16
"51","Aves","Anas flavirostris",112
"52","Aves","Anas georgica",40
"53","Aves","Anas platyrhynchos",2
"54","Aves","Anhima cornuta",2
"55","Aves","Anhinga anhinga",11
"56","Aves","Anthracothorax nigricollis",3
"57","Aves","Anthus chii",19
"58","Aves","Anthus correndera",12
"59","Aves","Anthus furcatus",11
"60","Aves","Anthus hellmayri",14
"61","Aves","Anthus nattereri",2
"62","Aves","Anumbius annumbi",55
"63","Aves","Aramides cajanea",86
"64","Aves","Aramides ypecaha",113
"65","Aves","Aramus guarauna",74
"66","Aves","Aratinga leucophthalma",15
"67","Aves","Ardea alba",180
"68","Aves","Ardea cocoi",136
"69","Aves","Arenaria interpres",22
"70","Aves","Asio flammeus",7
"71","Aves","Asthenes baeri",8
"72","Aves","Asthenes pyrrholeuca",3
"73","Aves","Athene cunicularia",142
"74","Aves","Bartramia longicauda",20
"75","Aves","Basileuterus culicivorus",49
"76","Aves","Botaurus pinnatus",4
"77","Aves","Brotogeris chiriri",10
"78","Aves","Bubo virginianus",65
"79","Aves","Bubulcus ibis",56
"80","Aves","Busarellus nigricollis",2
"81","Aves","Buteo albicaudatus",51
"82","Aves","Buteo swainsoni",24
"83","Aves","Buteogallus meridionalis",86
"84","Aves","Buteogallus urubitinga",9
"85","Aves","Butorides striata",61
