"","class","species","n","Distribution","Size","IUCNglobal"
"1","Amphibia","Boana pulchella",232,19,5,"LC"
"2","Amphibia","Dendropsophus minutus",3,2,28,"LC"
"3","Amphibia","Dendropsophus nanus",2,NA,NA,NA
"4","Amphibia","Dendropsophus sanborni",32,19,3,"LC"
"5","Amphibia","Elachistocleis bicolor",34,19,43,"LC"
"6","Amphibia","Julianus uruguayus",6,NA,NA,NA
"7","Amphibia","Leptodactylus gracilis",39,19,45,"LC"
"8","Amphibia","Leptodactylus latinasus",63,19,4,"LC"
"9","Amphibia","Leptodactylus luctator",183,19,12,"LC"
"10","Amphibia","Leptodactylus macrosternum",9,2,8,"LC"
"11","Amphibia","Leptodactylus mystacinus",52,19,6,"LC"
"12","Amphibia","Limnomedusa macroglossa",25,19,463,"LC"
"13","Amphibia","Lithobates catesbeianus",8,3,203,"LC"
"14","Amphibia","Lysapsus limellum",3,NA,NA,NA
"15","Amphibia","Melanophryniscus atroluteus",4,13,28,"LC"
"16","Amphibia","Melanophryniscus devincenzii",2,NA,NA,NA
"17","Amphibia","Melanophryniscus montevidensis",77,4,3,"VU"
"18","Amphibia","Melanophryniscus pachyrhynus",1,2,28,"DD"
"19","Amphibia","Ololygon berthae",2,NA,NA,NA
"20","Amphibia","Phyllomedusa iheringii",27,12,75,"LC"
"21","Amphibia","Physalaemus biligonigerus",29,12,4,"LC"
"22","Amphibia","Physalaemus gracilis",32,14,4,"LC"
"23","Amphibia","Physalaemus henselii",4,17,2,"LC"
"24","Amphibia","Physalaemus riograndensis",6,19,17,"LC"
"25","Amphibia","Pseudis minuta",75,19,5,"LC"
"26","Amphibia","Pseudopaludicola falcipes",56,19,2,"LC"
"27","Amphibia","Rhinella achavali",2,10,6,"LC"
"28","Amphibia","Rhinella arenarum",130,10,115,"LC"
"29","Amphibia","Rhinella diptycha",53,4,25,"LC"
"30","Amphibia","Rhinella dorbignyi",133,10,7,"LC"
"31","Amphibia","Scinax fuscovarius",13,5,55,"LC"
"32","Amphibia","Scinax granulatus",119,19,4,"LC"
"33","Amphibia","Scinax nasicus",24,2,39,"LC"
"34","Amphibia","Scinax squalirostris",20,19,3,"LC"
"35","Aves","Accipiter bicolor",20,11,35,"LC"
"36","Aves","Accipiter striatus",20,19,26,"LC"
"37","Aves","Actitis macularius",4,8,17,"LC"
"38","Aves","Aegolius harrisii",2,NA,NA,NA
"39","Aves","Agapornis personatus",3,NA,NA,NA
"40","Aves","Agelaioides badius",95,19,18,"LC"
"41","Aves","Agelasticus cyanopus",1,3,18,"LC"
"42","Aves","Agelasticus thilius",41,19,17,"LC"
"43","Aves","Agriornis murinus",1,5,16,"LC"
"44","Aves","Alopochelidon fucata",11,19,11,"LC"
"45","Aves","Amazona aestiva",2,NA,NA,NA
"46","Aves","Amazonetta brasiliensis",106,19,36,"LC"
"47","Aves","Amblyramphus holosericeus",44,19,22,"LC"
"48","Aves","Ammodramus humeralis",54,19,11,"LC"
"49","Aves","Anairetes flavirostris",2,1,11,"LC"
"50","Aves","Anas bahamensis",16,19,39,"LC"
"51","Aves","Anas flavirostris",112,19,34,"LC"
"52","Aves","Anas georgica",40,19,44,"LC"
"53","Aves","Anas platyrhynchos",2,NA,NA,NA
"54","Aves","Anhima cornuta",2,1,84,"LC"
"55","Aves","Anhinga anhinga",11,19,66,"LC"
"56","Aves","Anthracothorax nigricollis",3,4,9,"LC"
"57","Aves","Anthus chii",19,NA,NA,NA
"58","Aves","Anthus correndera",12,19,14,"LC"
"59","Aves","Anthus furcatus",11,19,14,"LC"
"60","Aves","Anthus hellmayri",14,19,14,"LC"
"61","Aves","Anthus nattereri",2,2,14,"VU"
"62","Aves","Anumbius annumbi",55,19,18,"LC"
"63","Aves","Aramides cajanea",86,NA,NA,NA
"64","Aves","Aramides ypecaha",113,19,45,"LC"
