"id","taxon_family_name","taxon_species_name","n","species","taxon_genus_name","Distribution","Habito1","Habito2","SNAPregional","BiodiversidataEstablecimiento","IUCNglobal","trendGlobal","esta_en_powo","esta_en_gbif","es_un_nuevo_registro","url_powo","synonym","remarks"
1,"Asteraceae","Acanthospermum australe",24,"Acanthospermum australe","Acanthospermum",14,"Hierba","Anual","No evaluada","nativa","NE","NE",,,,,,
2,"Asteraceae","Acanthostyles buniifolius",65,"Acanthostyles buniifolius","Acanthostyles",14,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
3,"Asteraceae","Achillea millefolium",1,"Achillea millefolium","Achillea",4,"Hierba","Perenne","No evaluada","NE","LC","Unknown",,,,,,
343,"Cactaceae","Parodia erinaceus",304,,,,,,,,,,,,,,"Parodia erinacea",
5,"Asteraceae","Achyrocline flaccida",18,"Achyrocline flaccida","Achyrocline",7,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
6,"Asteraceae","Achyrocline saturejoides",44,"Achyrocline saturejoides","Achyrocline",13,"Subarbusto","Perenne","No evaluada","NE","NE","NE",,,,,,
7,"Asteraceae","Acmella decumbens",24,"Acmella decumbens","Acmella",3,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
8,"Asteraceae","Adenostemma brasilianum",2,"Adenostemma brasilianum","Adenostemma",8,"Hierba","Anual","No evaluada","nativa","NE","NE",,,,,,
9,"Asteraceae","Aldama anchusifolia",7,"Aldama anchusifolia","Aldama",1,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
94,"Asteraceae","Cladanthus mixtus",38,,,,,,,,,,,,,,"Chamaemelum mixtum","non native"
466,"Fabaceae","Nanogalactia heterophylla",34,,,,,,,,,,,,,,"Galactia marginalis",
59,"Asteraceae","Bidens aurea",21,,,,,,,,,,"Introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:32316-2",,"non-native"
13,"Asteraceae","Ambrosia artemisiifolia",6,"Ambrosia artemisiifolia","Ambrosia",7,"Hierba","Anual","No evaluada","nativa",,,,,,,,
14,"Asteraceae","Ambrosia tenuifolia",37,"Ambrosia tenuifolia","Ambrosia",10,"Hierba","Perenne","No evaluada","introducida","NE","NE",,,,,,
15,"Asteraceae","Angelphytum grisebachii",1,"Angelphytum grisebachii","Angelphytum",1,"Subarbusto","Perenne","No evaluada","NE","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60444807-2",,
16,"Asteraceae","Anthemis cotula",3,"Anthemis cotula","Anthemis",9,"Hierba","Anual","No evaluada","introducida",,,,,,,,
17,"Asteraceae","Arctium minus",15,"Arctium minus","Arctium",4,"Hierba","Bianual","No evaluada","introducida","NE","NE",,,,,,
18,"Asteraceae","Aspilia montevidensis",168,"Aspilia montevidensis","Aspilia",12,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
19,"Asteraceae","Aspilia silphioides",2,"Aspilia silphioides","Aspilia",3,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
20,"Asteraceae","Austroeupatorium inulifolium",61,"Austroeupatorium inulifolium","Austroeupatorium",14,"Arbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
21,"Asteraceae","Baccharis aliena",41,"Baccharis aliena","Baccharis",12,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
22,"Asteraceae","Baccharis anomala",4,"Baccharis anomala","Baccharis",6,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
543,"Solanaceae","Nicotiana tabacum",20,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:817077-1",,"non-native"
