"taxon_family_name","taxon_species_name","Distribution","Habito1","IUCNglobal","remarks"
"Asteraceae","Enydra fluctuans",5,"Hierba","NA","new record"
"Asteraceae","Baccharis cognata",1,"Arbusto","NE","new record"
"Asteraceae","Baccharis darwinii",1,"Subarbusto","NE","new record"
"Asteraceae","Baccharis juncea",1,"Hierba","NE","new record"
"Solanaceae","Brunfelsia pauciflora",1,"Arbusto","LC","new record"
"Solanaceae","Calibrachoa scabridula",1,"Subarbusto","NA","new record"
"Asteraceae","Chrysanthellum indicum",1,"Hierba","NE","new record"
"Fabaceae","Ctenodon histrix",1,"Hierba","NE","new record"
"Asteraceae","Galinsoga quadriradiata",1,"Hierba","NE","new record"
"Cactaceae","Gymnocalycium volskyi",1,"Hierba","NA","new record"
"Cactaceae","Harrisia bonplandii",1,"Hierba","NE","new record"
"Cactaceae","Harrisia martinii",1,"Subarbusto","NE","new record"
"Asteraceae","Hieracium palezieuxii",1,"Hierba","NE","new record"
"Fabaceae","Macroptilium erythroloma",1,"Hierba","NE","new record"
"Fabaceae","Mimosa incana",1,"Arbusto","NE","new record"
"Fabaceae","Mimosa tweedieana",1,"Arbusto","NE","new record"
"Asteraceae","Noticastrum chebataroffii",1,"Hierba","NA","new record"
"Asteraceae","Noticastrum marginatum",1,"Hierba","NE","new record"
"Asteraceae","Noticastrum sericeum",1,"Hierba","NE","new record"
"Cactaceae","Parodia oxycostata",1,"Hierba","VU","new record"
"Cactaceae","Rhipsalis floccosa",1,"Hierba","LC","new record"
"Solanaceae","Schwenckia curviflora",1,"Hierba","NE","new record"
"Asteraceae","Senecio cisplatinus",1,"Subarbusto","NE","new record"
"Asteraceae","Senecio saltensis",1,"Subarbusto","NE","new record"
"Fabaceae","Senna hirsuta",1,"Hierba","NE","new record"
"Solanaceae","Solanum adscendens",1,"Hierba","NE","new record"
"Solanaceae","Solanum betaceum",1,"Arbusto","DD","new record"
"Solanaceae","Solanum guaraniticum",1,"Arbusto","EN","new record"
"Solanaceae","Solanum pilcomayense",1,"Hierba","NE","new record"
"Asteraceae","Sphagneticola trilobata",1,"Hierba","NE","new record"
"Asteraceae","Tessaria dodonaeifolia",1,"Hierba","NE","new record"
"Asteraceae","Tessaria integrifolia",1,"Arbusto","LC","new record"
"Fabaceae","Vachellia astringens",1,"Arbusto","NA","new record"
