"","taxon_family_name","taxon_species_name","n"
"1","Asteraceae","Acanthospermum australe",24
"2","Asteraceae","Acanthostyles buniifolius",65
"3","Asteraceae","Achillea millefolium",1
"4","Asteraceae","Achyrocline alata",3
"5","Asteraceae","Achyrocline flaccida",18
"6","Asteraceae","Achyrocline saturejoides",44
"7","Asteraceae","Acmella decumbens",24
"8","Asteraceae","Adenostemma brasilianum",2
"9","Asteraceae","Aldama anchusifolia",7
"10","Asteraceae","Aldama breviflosculosa",1
"11","Asteraceae","Aldama nudicaulis",3
"12","Asteraceae","Aldama tuberosa",1
"13","Asteraceae","Ambrosia artemisiifolia",6
"14","Asteraceae","Ambrosia tenuifolia",37
"15","Asteraceae","Angelphytum grisebachii",1
"16","Asteraceae","Anthemis cotula",3
"17","Asteraceae","Arctium minus",15
"18","Asteraceae","Aspilia montevidensis",168
"19","Asteraceae","Aspilia silphioides",2
"20","Asteraceae","Austroeupatorium inulifolium",61
"21","Asteraceae","Baccharis aliena",41
"22","Asteraceae","Baccharis anomala",4
"23","Asteraceae","Baccharis arenaria",3
"24","Asteraceae","Baccharis articulata",67
"25","Asteraceae","Baccharis breviseta",1
"26","Asteraceae","Baccharis cognata",1
"27","Asteraceae","Baccharis coridifolia",53
"28","Asteraceae","Baccharis crispa",1
"29","Asteraceae","Baccharis cultrata",3
"30","Asteraceae","Baccharis darwinii",2
"31","Asteraceae","Baccharis dracunculifolia",89
"32","Asteraceae","Baccharis genistifolia",6
"33","Asteraceae","Baccharis gibertii",1
"34","Asteraceae","Baccharis glutinosa",8
"35","Asteraceae","Baccharis gnaphalioides",15
"36","Asteraceae","Baccharis jocheniana",16
"37","Asteraceae","Baccharis juncea",3
"38","Asteraceae","Baccharis linearifolia",26
"39","Asteraceae","Baccharis microcephala",1
"40","Asteraceae","Baccharis microdonta",28
"41","Asteraceae","Baccharis notosergila",47
"42","Asteraceae","Baccharis ochracea",21
"43","Asteraceae","Baccharis oxyodonta",6
"44","Asteraceae","Baccharis palustris",1
"45","Asteraceae","Baccharis patens",24
"46","Asteraceae","Baccharis phyteumoides",13
"47","Asteraceae","Baccharis psiadioides",1
"48","Asteraceae","Baccharis punctulata",46
"49","Asteraceae","Baccharis rectialata",4
