"","family","species","n"
"1","Asteraceae","Acanthospermum australe",22
"2","Asteraceae","Acanthostyles buniifolius",55
"3","Asteraceae","Achillea millefolium",1
"4","Asteraceae","Achyrocline alata",3
"5","Asteraceae","Achyrocline flaccida",15
"6","Asteraceae","Achyrocline satureioides",35
"7","Asteraceae","Acmella bellidioides",1
"8","Asteraceae","Acmella decumbens",19
"9","Asteraceae","Adenostemma brasilianum",2
"10","Asteraceae","Aldama anchusifolia",5
"11","Asteraceae","Aldama breviflosculosa",1
"12","Asteraceae","Aldama nudicaulis",3
"13","Asteraceae","Aldama tuberosa",1
"14","Asteraceae","Ambrosia artemisiifolia",4
"15","Asteraceae","Ambrosia tenuifolia",31
"16","Asteraceae","Anthemis cotula",4
"17","Asteraceae","Archibaccharis vulneraria",7
"18","Asteraceae","Arctium minus",15
"19","Asteraceae","Austroeupatorium inulifolium",50
"20","Asteraceae","Baccharis aliena",35
"21","Asteraceae","Baccharis anomala",4
"22","Asteraceae","Baccharis arenaria",3
"23","Asteraceae","Baccharis articulata",66
"24","Asteraceae","Baccharis cognata",1
"25","Asteraceae","Baccharis coridifolia",45
"26","Asteraceae","Baccharis crispa",1
"27","Asteraceae","Baccharis cultrata",3
"28","Asteraceae","Baccharis darwinii",2
"29","Asteraceae","Baccharis dracunculifolia",80
"30","Asteraceae","Baccharis genistifolia",6
"31","Asteraceae","Baccharis gibertii",1
"32","Asteraceae","Baccharis glutinosa",8
"33","Asteraceae","Baccharis gnaphalioides",13
"34","Asteraceae","Baccharis jocheniana",14
"35","Asteraceae","Baccharis juncea",3
"36","Asteraceae","Baccharis linearifolia",23
"37","Asteraceae","Baccharis microcephala",1
"38","Asteraceae","Baccharis microdonta",26
"39","Asteraceae","Baccharis notosergila",36
"40","Asteraceae","Baccharis ochracea",20
"41","Asteraceae","Baccharis oxyodonta",7
"42","Asteraceae","Baccharis palustris",1
"43","Asteraceae","Baccharis patens",21
"44","Asteraceae","Baccharis phyteumoides",12
"45","Asteraceae","Baccharis psiadioides",1
"46","Asteraceae","Baccharis punctulata",37
"47","Asteraceae","Baccharis rectialata",4
"48","Asteraceae","Baccharis salicifolia",2
"49","Asteraceae","Baccharis sessiliflora",1
"50","Asteraceae","Baccharis spicata",83
"51","Asteraceae","Baccharis tridentata",2
"52","Asteraceae","Baccharis trimera",124
"53","Asteraceae","Barrosoa betoniciformis",2
"54","Asteraceae","Barrosoa candolleana",17
"55","Asteraceae","Berroa gnaphalioides",5
"56","Asteraceae","Bidens aurea",16
"57","Asteraceae","Bidens laevis",27
"58","Asteraceae","Bidens pilosa",38
"59","Asteraceae","Bidens subalternans",10
"60","Asteraceae","Calea uniflora",18
"61","Asteraceae","Calendula officinalis",2
"62","Asteraceae","Calyptocarpus brasiliensis",8
"63","Asteraceae","Campovassouria cruciata",8
"64","Asteraceae","Campuloclinium macrocephalum",72
"65","Asteraceae","Carduus acanthoides",41
"66","Asteraceae","Carduus pycnocephalus",3
"67","Asteraceae","Carduus tenuiflorus",2
"68","Asteraceae","Carthamus lanatus",9
"69","Asteraceae","Centaurea calcitrapa",13
"70","Asteraceae","Centaurea solstitialis",1
"71","Asteraceae","Chaptalia arechavaletae",24
