taxon_family_name,taxon_species_name,distribution_area,growth_form,conservation_status,remarks
Asteraceae,Acanthospermum australe,14,herb,NE,NA
Asteraceae,Acanthostyles buniifolius,14,shrub,NE,NA
Asteraceae,Achillea millefolium,4,herb,LC,NA
Asteraceae,Achyrocline alata,8,subshrub,NE,NA
Asteraceae,Achyrocline flaccida,7,subshrub,NE,NA
Asteraceae,Achyrocline saturejoides,13,subshrub,NE,NA
Asteraceae,Acmella decumbens,3,herb,NE,NA
Asteraceae,Adenostemma brasilianum,8,herb,NE,NA
Asteraceae,Aldama anchusifolia,1,subshrub,NE,NA
Asteraceae,Aldama breviflosculosa,7,herb,NE,NA
Asteraceae,Aldama nudicaulis,5,herb,NE,NA
Asteraceae,Aldama tuberosa,4,herb,NE,NA
Asteraceae,Ambrosia artemisiifolia,7,herb,NE,NA
Asteraceae,Ambrosia tenuifolia,10,herb,NE,NA
Asteraceae,Angelphytum grisebachii,1,subshrub,NE,NA
Asteraceae,Anthemis cotula,9,herb,NE,NA
Asteraceae,Arctium minus,4,herb,NE,NA
Asteraceae,Aspilia montevidensis,12,herb,NE,NA
Asteraceae,Aspilia silphioides,3,herb,NE,NA
Asteraceae,Austroeupatorium inulifolium,14,shrub,NE,NA
Asteraceae,Baccharis aliena,12,shrub,NE,NA
Asteraceae,Baccharis anomala,6,shrub,NE,NA
Asteraceae,Baccharis arenaria,7,shrub,NE,NA
Asteraceae,Baccharis articulata,14,shrub,NE,NA
Asteraceae,Baccharis breviseta,9,subshrub,NE,NA
Asteraceae,Baccharis cognata,1,shrub,NE,new record
Asteraceae,Baccharis coridifolia,13,shrub,NE,NA
Asteraceae,Baccharis crispa,4,shrub,NE,NA
Asteraceae,Baccharis cultrata,5,shrub,NE,NA
Asteraceae,Baccharis darwinii,1,subshrub,NE,NA
Asteraceae,Baccharis dracunculifolia,12,shrub,NE,NA
Asteraceae,Baccharis genistifolia,6,subshrub,NE,NA
Asteraceae,Baccharis gibertii,6,tree,NE,NA
Asteraceae,Baccharis glutinosa,9,herb,NE,NA
Asteraceae,Baccharis gnaphalioides,5,subshrub,NE,NA
Asteraceae,Baccharis jocheniana,1,shrub,NE,NA
