"","taxon_class_name","taxon_species_name","n"
"1","Amphibia","Boana pulchella",281
"2","Amphibia","Chthonerpeton indistinctum",2
"3","Amphibia","Dendropsophus minutus",4
"4","Amphibia","Dendropsophus nanus",2
"5","Amphibia","Dendropsophus sanborni",41
"6","Amphibia","Elachistocleis bicolor",42
"7","Amphibia","Julianus uruguayus",7
"8","Amphibia","Leptodactylus gracilis",41
"9","Amphibia","Leptodactylus latinasus",79
"10","Amphibia","Leptodactylus luctator",209
"11","Amphibia","Leptodactylus macrosternum",10
"12","Amphibia","Leptodactylus mystacinus",66
"13","Amphibia","Limnomedusa macroglossa",34
"14","Amphibia","Lithobates catesbeianus",10
"15","Amphibia","Lysapsus limellum",3
"16","Amphibia","Melanophryniscus atroluteus",4
"17","Amphibia","Melanophryniscus devincenzii",2
"18","Amphibia","Melanophryniscus montevidensis",99
"19","Amphibia","Melanophryniscus pachyrhynus",2
"20","Amphibia","Odontophrynus asper",69
"21","Amphibia","Phyllomedusa iheringii",35
"22","Amphibia","Physalaemus biligonigerus",31
"23","Amphibia","Physalaemus gracilis",34
"24","Amphibia","Physalaemus henselii",4
"25","Amphibia","Physalaemus riograndensis",6
"26","Amphibia","Pleurodema bibroni",3
"27","Amphibia","Pseudis minuta",88
"28","Amphibia","Pseudopaludicola falcipes",60
"29","Amphibia","Rhinella achavali",2
"30","Amphibia","Rhinella arenarum",150
"31","Amphibia","Rhinella diptycha",71
"32","Amphibia","Rhinella dorbignyi",158
"33","Amphibia","Scinax fuscovarius",17
"34","Amphibia","Scinax granulatus",150
"35","Amphibia","Scinax nasicus",27
"36","Amphibia","Scinax squalirostris",30
"37","Aves","Accipiter bicolor",19
"38","Aves","Accipiter striatus",22
"39","Aves","Actitis macularius",6
"40","Aves","Aegolius harrisii",2
"41","Aves","Agapornis personatus",2
"42","Aves","Agelaioides badius",81
"43","Aves","Agelasticus cyanopus",1
"44","Aves","Agelasticus thilius",45
"45","Aves","Agriornis murinus",1
"46","Aves","Alopochelidon fucata",12
"47","Aves","Amazona aestiva",2
"48","Aves","Amazonetta brasiliensis",106
"49","Aves","Amblyramphus holosericeus",45
"50","Aves","Ammodramus humeralis",55
"51","Aves","Anairetes flavirostris",2
"52","Aves","Anarhynchus collaris",61
"53","Aves","Anarhynchus falklandicus",28
"54","Aves","Anas bahamensis",15
"55","Aves","Anas flavirostris",114
"56","Aves","Anas georgica",45
"57","Aves","Anas platyrhynchos",13
"58","Aves","Anhima cornuta",2
"59","Aves","Anhinga anhinga",11
"60","Aves","Anser anser",27
"61","Aves","Anthracothorax nigricollis",4
"62","Aves","Anthus chii",18
"63","Aves","Anthus correndera",12
"64","Aves","Anthus furcatus",9
"65","Aves","Anthus hellmayri",17
"66","Aves","Anthus nattereri",2
"67","Aves","Anumbius annumbi",54
"68","Aves","Aramides cajaneus",87
"69","Aves","Aramides saracura",1
"70","Aves","Aramides ypecaha",93
"71","Aves","Aramus guarauna",75
"72","Aves","Aratinga nenday",2
"73","Aves","Ardea alba",177
"74","Aves","Ardea cocoi",130
"75","Aves","Ardenna gravis",2
"76","Aves","Ardenna grisea",2
"77","Aves","Arenaria interpres",24
"78","Aves","Arundinicola leucocephala",1
"79","Aves","Asio clamator",7
"80","Aves","Asio flammeus",11
"81","Aves","Asthenes baeri",8
"82","Aves","Asthenes pyrrholeuca",3
"83","Aves","Athene cunicularia",151
"84","Aves","Bartramia longicauda",20
"85","Aves","Basileuterus culicivorus",50
"86","Aves","Botaurus pinnatus",5
"87","Aves","Brotogeris chiriri",11
"88","Aves","Bubo virginianus",80
"89","Aves","Bubulcus ibis",49
"90","Aves","Busarellus nigricollis",1
"91","Aves","Buteo swainsoni",24
"92","Aves","Buteogallus meridionalis",87
"93","Aves","Buteogallus urubitinga",9
"94","Aves","Butorides striata",65
"95","Aves","Cacicus chrysopterus",29
"96","Aves","Cacicus haemorrhous",2
"97","Aves","Cacicus solitarius",11
"98","Aves","Cairina moschata",23
"99","Aves","Calidris alba",20
"100","Aves","Calidris bairdii",12
"101","Aves","Calidris canutus",34
"102","Aves","Calidris fuscicollis",76
"103","Aves","Calidris himantopus",16
"104","Aves","Calidris melanotos",39
"105","Aves","Calidris minutilla",2
"106","Aves","Calidris subruficollis",58
"107","Aves","Callonetta leucophrys",51
"108","Aves","Calonectris diomedea",2
"109","Aves","Campephilus leucopogon",3
"110","Aves","Camptostoma obsoletum",28
"111","Aves","Caracara plancus",232
"112","Aves","Carduelis carduelis",22
"113","Aves","Cariama cristata",36
"114","Aves","Casiornis rufus",5
"115","Aves","Cathartes aura",180
"116","Aves","Cathartes burrovianus",31
"117","Aves","Catharus ustulatus",2
"118","Aves","Certhiaxis cinnamomeus",20
"119","Aves","Chaetura meridionalis",1
"120","Aves","Charadrius semipalmatus",34
"121","Aves","Chauna torquata",163
"122","Aves","Chionis albus",9
"123","Aves","Chlidonias niger",2
"124","Aves","Chloris chloris",9
"125","Aves","Chloroceryle amazona",53
"126","Aves","Chloroceryle americana",86
"127","Aves","Chlorophonia cyanocephala",5
"128","Aves","Chlorostilbon lucidus",116
"129","Aves","Chordeiles minor",8
"130","Aves","Chordeiles nacunda",35
"131","Aves","Chroicocephalus cirrocephalus",26
"132","Aves","Chroicocephalus maculipennis",122
"133","Aves","Chrysomus ruficapillus",38
"134","Aves","Ciconia maguari",132
"135","Aves","Cinclodes fuscus",35
"136","Aves","Circus buffoni",91
"137","Aves","Circus cinereus",16
"138","Aves","Cistothorus platensis",11
"139","Aves","Cnemotriccus fuscatus",3
"140","Aves","Coccycua cinerea",7
"141","Aves","Coccyzus melacoryphus",16
"142","Aves","Coereba flaveola",6
"143","Aves","Colaptes campestris",149
"144","Aves","Colaptes melanochloros",175
"145","Aves","Columba livia",54
"146","Aves","Columbina picui",58
"147","Aves","Columbina talpacoti",12
"148","Aves","Conopophaga lineata",3
"149","Aves","Coragyps atratus",58
"150","Aves","Corvus splendens",4
"151","Aves","Coryphistera alaudina",15
"152","Aves","Coryphospingus cucullatus",15
"153","Aves","Coscoroba coscoroba",83
"154","Aves","Cranioleuca pyrrhophia",61
"155","Aves","Crotophaga ani",10
"156","Aves","Crotophaga major",4
"157","Aves","Crypturellus obsoletus",2
"158","Aves","Culicivora caudacuta",1
"159","Aves","Cyanocorax caeruleus",3
"160","Aves","Cyanocorax chrysops",35
"161","Aves","Cyanoloxia brissonii",13
"162","Aves","Cyanoloxia glaucocaerulea",58
"163","Aves","Cyclarhis gujanensis",74
"164","Aves","Cygnus melancoryphus",61
"165","Aves","Daptrius chimachima",33
"166","Aves","Daptrius chimango",129
"167","Aves","Dendrocolaptes platyrostris",6
"168","Aves","Dendrocygna autumnalis",9
"169","Aves","Dendrocygna bicolor",14
"170","Aves","Dendrocygna viduata",64
"171","Aves","Dolichonyx oryzivorus",1
"172","Aves","Donacospiza albifrons",52
"173","Aves","Drymornis bridgesii",46
"174","Aves","Dryobates mixtus",13
"175","Aves","Dryobates spilogaster",67
"176","Aves","Egretta caerulea",11
"177","Aves","Egretta thula",128
"178","Aves","Elaenia albiceps",19
"179","Aves","Elaenia flavogaster",1
"180","Aves","Elaenia mesoleuca",3
"181","Aves","Elaenia parvirostris",54
"182","Aves","Elaenia sordida",25
"183","Aves","Elaenia spectabilis",7
"184","Aves","Elanoides forficatus",1
"185","Aves","Elanus leucurus",17
"186","Aves","Emberizoides herbicola",6
"187","Aves","Emberizoides ypiranganus",8
"188","Aves","Embernagra platensis",139
"189","Aves","Empidonomus aurantioatrocristatus",20
"190","Aves","Empidonomus varius",15
"191","Aves","Eudyptes chrysolophus",1
"192","Aves","Eupetomena macroura",4
"193","Aves","Euphonia chlorotica",14
"194","Aves","Euscarthmus meloryphus",7
"195","Aves","Falco femoralis",30
"196","Aves","Falco peregrinus",18
"197","Aves","Falco sparverius",147
"198","Aves","Florisuga fusca",9
"199","Aves","Fluvicola albiventer",6
"200","Aves","Fluvicola nengeta",2
"201","Aves","Fregata magnificens",29
"202","Aves","Fulica armillata",39
"203","Aves","Fulica leucoptera",21
"204","Aves","Fulica rufifrons",16
"205","Aves","Fulmarus glacialis",1
"206","Aves","Fulmarus glacialoides",1
"207","Aves","Furnarius rufus",252
"208","Aves","Gallinago magellanica",1
"209","Aves","Gallinago paraguaiae",55
"210","Aves","Gallinula galeata",77
"211","Aves","Gallus gallus",2
"212","Aves","Gampsonyx swainsonii",1
"213","Aves","Gelochelidon nilotica",4
"214","Aves","Geositta cunicularia",32
"215","Aves","Geothlypis velata",58
"216","Aves","Geotrygon montana",1
"217","Aves","Geranoaetus albicaudatus",49
"218","Aves","Geranoaetus melanoleucus",50
"219","Aves","Geranospiza caerulescens",11
"220","Aves","Glaucidium brasilianum",18
"221","Aves","Gnorimopsar chopi",19
"222","Aves","Gubernatrix cristata",7
"223","Aves","Gubernetes yetapa",1
"224","Aves","Guira guira",122
"225","Aves","Haematopus ater",4
"226","Aves","Haematopus palliatus",114
"227","Aves","Halobaena caerulea",1
"228","Aves","Hapalocrex flaviventer",1
"229","Aves","Heliobletus contaminatus",15
"230","Aves","Heliomaster furcifer",22
"231","Aves","Hemithraupis guira",1
"232","Aves","Hemithraupis ruficapilla",3
"233","Aves","Hemitriccus margaritaceiventer",16
"234","Aves","Heteronetta atricapilla",12
"235","Aves","Heteroxolmis dominicana",58
"236","Aves","Himantopus mexicanus",99
"237","Aves","Hirundinea ferruginea",10
"238","Aves","Hirundo rustica",30
"239","Aves","Hydropsalis torquata",66
"240","Aves","Hylocharis chrysura",102
"241","Aves","Hymenops perspicillatus",118
"242","Aves","Icterus pyrrhopterus",59
"243","Aves","Ictinia mississippiensis",7
"244","Aves","Ictinia plumbea",4
"245","Aves","Ixobrychus involucris",6
"246","Aves","Jabiru mycteria",2
"247","Aves","Jacana jacana",100
"248","Aves","Knipolegus cyanirostris",52
"249","Aves","Knipolegus lophotes",30
"250","Aves","Larus atlanticus",53
"251","Aves","Larus dominicanus",123
"252","Aves","Laterallus leucopyrrhus",2
"253","Aves","Laterallus melanophaius",23
"254","Aves","Lathrotriccus euleri",14
"255","Aves","Leistes defilippii",4
"256","Aves","Leistes superciliaris",70
"257","Aves","Lepidocolaptes angustirostris",74
"258","Aves","Lepidocolaptes falcinellus",9
"259","Aves","Leptasthenura platensis",19
"260","Aves","Leptopogon amaurocephalus",1
"261","Aves","Leptotila rufaxilla",6
"262","Aves","Leptotila verreauxi",43
"263","Aves","Lessonia rufa",35
"264","Aves","Leucocarbo atriceps",2
"265","Aves","Leucochloris albicollis",69
"266","Aves","Leucophaeus pipixcan",1
"267","Aves","Limnoctites rectirostris",33
"268","Aves","Limnoctites sulphuriferus",17
"269","Aves","Limnornis curvirostris",14
"270","Aves","Limosa haemastica",37
"271","Aves","Lochmias nematura",38
"272","Aves","Machetornis rixosa",89
"273","Aves","Mackenziaena leachii",28
"274","Aves","Macronectes giganteus",31
"275","Aves","Macronectes halli",9
"276","Aves","Mareca sibilatrix",18
"277","Aves","Megaceryle torquata",43
"278","Aves","Megarynchus pitangua",6
"279","Aves","Megascops choliba",44
"280","Aves","Megascops sanctaecatarinae",4
"281","Aves","Melanerpes cactorum",16
"282","Aves","Melanerpes candidus",62
"283","Aves","Meleagris gallopavo",1
"284","Aves","Melopsittacus undulatus",2
"285","Aves","Microspingus cabanisi",45
"286","Aves","Microspingus melanoleucus",30
"287","Aves","Microspingus torquatus",1
"288","Aves","Mimus saturninus",253
"289","Aves","Mimus triurus",29
"290","Aves","Molothrus bonariensis",137
"291","Aves","Molothrus rufoaxillaris",27
"292","Aves","Motacilla alba",3
"293","Aves","Muscisaxicola albilora",2
"294","Aves","Muscisaxicola maclovianus",10
"295","Aves","Mustelirallus albicollis",1
"296","Aves","Mycteria americana",65
"297","Aves","Myiarchus ferox",7
"298","Aves","Myiarchus swainsoni",26
"299","Aves","Myiarchus tyrannulus",7
"300","Aves","Myiodynastes maculatus",43
"301","Aves","Myiopagis viridicata",3
"302","Aves","Myiophobus fasciatus",52
"303","Aves","Myiopsitta monachus",127
"304","Aves","Myiothlypis leucoblephara",27
"305","Aves","Nannopterum brasilianum",136
"306","Aves","Nemosia pileata",1
"307","Aves","Nengetus cinereus",89
"308","Aves","Neoxolmis coronatus",6
"309","Aves","Neoxolmis rufiventris",8
"310","Aves","Netta peposaca",19
"311","Aves","Nomonyx dominicus",14
"312","Aves","Nothura maculosa",83
"313","Aves","Numenius phaeopus",9
"314","Aves","Numida meleagris",4
"315","Aves","Nyctibius griseus",16
"316","Aves","Nycticorax nycticorax",60
"317","Aves","Nycticryphes semicollaris",9
"318","Aves","Nyctidromus albicollis",2
"319","Aves","Nymphicus hollandicus",1
"320","Aves","Oceanites oceanicus",1
"321","Aves","Oreopholus ruficollis",15
"322","Aves","Ortalis canicollis",3
"323","Aves","Oxyura vittata",23
"324","Aves","Pachyptila belcheri",1
"325","Aves","Pachyramphus polychopterus",25
