"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Aves","Anas platyrhynchos","NA","NA","NA","Casual: domesticated"
"Aves","Anser anser","NA","NA","NA","Casual: domesticated"
"Aves","Gallus gallus","NA","NA","NA","Casual: domesticated"
"Aves","Meleagris gallopavo","NA","NA","NA","Casual: domesticated"
"Mammalia","Canis familiaris","NA","NA","NA","Casual: domesticated"
"Mammalia","Felis catus","NA","NA","NA","Casual: domesticated"
"Aves","Corvus splendens","NA","NA","NA","Casual: introduced"
"Aves","Melopsittacus undulatus","NA","NA","NA","Casual: introduced"
"Aves","Numida meleagris","NA","NA","NA","Casual: introduced"
"Aves","Pavo cristatus","NA","NA","NA","Casual: introduced"
"Mammalia","Oryctolagus cuniculus","NA","NA","NA","Casual: introduced"
"Aves","Agapornis personatus","NA","NA","NA","Casual: mascot"
"Aves","Amazona aestiva","NA","NA","NA","Casual: mascot"
"Aves","Anairetes flavirostris",1,11,"LC","new record"
"Aves","Catharus ustulatus",1,16,"LC","new record"
"Aves","Fulmarus glacialis",1,47,"LC","new record"
"Aves","Gampsonyx swainsonii",1,22,"LC","new record"
"Aves","Hemithraupis guira",1,12,"LC","new record"
"Aves","Ictinia plumbea",1,35,"LC","new record"
"Aves","Motacilla alba",1,18,"LC","new record"
"Aves","Nymphicus hollandicus",1,32,"LC","new record"
"Aves","Pluvianellus socialis",1,18,"NT","new record"
"Mammalia","Alouatta caraya",1,57,"NT","new record"
"Mammalia","Leopardus fasciatus",1,60,"CR","new record"
"Mammalia","Mirounga angustirostris",1,500,"LC","new record"
"Reptilia","Caiman yacare",1,200,"LC","new record"
"Amphibia","Boana pulchella",19,5,"LC",
"Amphibia","Chthonerpeton indistinctum",9,435,"LC",
"Amphibia","Dendropsophus minutus",2,28,"LC",
"Amphibia","Dendropsophus nanus",3,3,"LC",
"Amphibia","Dendropsophus sanborni",19,3,"LC",
"Amphibia","Elachistocleis bicolor",19,43,"LC",
"Amphibia","Julianus uruguayus",17,3,"LC",
"Amphibia","Leptodactylus gracilis",19,45,"LC",
"Amphibia","Leptodactylus latinasus",19,4,"LC",
"Amphibia","Leptodactylus luctator",19,12,"LC",
"Amphibia","Leptodactylus macrosternum",2,8,"LC",
"Amphibia","Leptodactylus mystacinus",19,6,"LC",
"Amphibia","Limnomedusa macroglossa",19,463,"LC",
"Amphibia","Lithobates catesbeianus",3,203,"LC",
"Amphibia","Lysapsus limellum",2,3,"LC",
"Amphibia","Melanophryniscus atroluteus",13,28,"LC",
"Amphibia","Melanophryniscus devincenzii",1,3,"LC",
"Amphibia","Melanophryniscus montevidensis",4,3,"VU",
"Amphibia","Melanophryniscus pachyrhynus",2,28,"DD",
"Amphibia","Odontophrynus asper",19,5,"LC",
"Amphibia","Phyllomedusa iheringii",12,75,"LC",
"Amphibia","Physalaemus biligonigerus",12,4,"LC",
"Amphibia","Physalaemus gracilis",14,4,"LC",
"Amphibia","Physalaemus henselii",17,2,"LC",
"Amphibia","Physalaemus riograndensis",19,17,"LC",
"Amphibia","Pleurodema bibroni",15,3,"NT",
"Amphibia","Pseudis minuta",19,5,"LC",
"Amphibia","Pseudopaludicola falcipes",19,2,"LC",
"Amphibia","Rhinella achavali",10,6,"LC",
"Amphibia","Rhinella arenarum",10,115,"LC",
"Amphibia","Rhinella diptycha",4,25,"LC",
"Amphibia","Rhinella dorbignyi",10,7,"LC",
"Amphibia","Scinax fuscovarius",5,55,"LC",
"Amphibia","Scinax granulatus",19,4,"LC",
"Amphibia","Scinax nasicus",2,39,"LC",
"Amphibia","Scinax squalirostris",19,3,"LC",
"Aves","Accipiter bicolor",11,35,"LC",
"Aves","Accipiter striatus",19,26,"LC",
"Aves","Actitis macularius",8,17,"LC",
"Aves","Aegolius harrisii",3,20,"LC",
"Aves","Agelaioides badius",19,18,"LC",
"Aves","Agelasticus cyanopus",3,18,"LC",
"Aves","Agelasticus thilius",19,17,"LC",
"Aves","Agriornis murinus",5,16,"LC",
"Aves","Alopochelidon fucata",19,11,"LC",
"Aves","Amazonetta brasiliensis",19,36,"LC",
"Aves","Amblyramphus holosericeus",19,22,"LC",
"Aves","Ammodramus humeralis",19,11,"LC",
"Aves","Anarhynchus collaris",19,14,"LC",
"Aves","Anarhynchus falklandicus",6,19,"LC",
"Aves","Anas bahamensis",19,39,"LC",
"Aves","Anas flavirostris",19,34,"LC",
"Aves","Anas georgica",19,44,"LC",
"Aves","Anhima cornuta",1,84,"LC",
"Aves","Anhinga anhinga",19,66,"LC",
"Aves","Anthracothorax nigricollis",4,9,"LC",
"Aves","Anthus chii",19,12,"LC",
"Aves","Anthus correndera",19,14,"LC",
"Aves","Anthus furcatus",19,14,"LC",
"Aves","Anthus hellmayri",19,14,"LC",
"Aves","Anthus nattereri",2,14,"VU",
"Aves","Anumbius annumbi",19,18,"LC",
"Aves","Aramides cajaneus",19,36,"LC",
"Aves","Aramides saracura",1,36,"LC",
"Aves","Aramides ypecaha",19,45,"LC",
"Aves","Aramus guarauna",19,55,"LC",
"Aves","Aratinga nenday",4,30,"LC",
"Aves","Ardea alba",19,65,"LC",
"Aves","Ardea cocoi",19,75,"LC",
"Aves","Ardenna gravis",6,45,"LC",
"Aves","Ardenna grisea",6,50,"NT",
"Aves","Arenaria interpres",5,22,"LC",
"Aves","Arundinicola leucocephala",3,12,"LC",
"Aves","Asio clamator",19,38,"LC",
"Aves","Asio flammeus",19,40,"LC",
"Aves","Asthenes baeri",19,14,"LC",
"Aves","Asthenes pyrrholeuca",18,16,"LC",
"Aves","Athene cunicularia",19,25,"LC",
"Aves","Bartramia longicauda",19,26,"LC",
"Aves","Basileuterus culicivorus",19,12,"LC",
"Aves","Botaurus pinnatus",13,62,"LC",
"Aves","Brotogeris chiriri",3,20,"LC",
"Aves","Bubo virginianus",19,51,"LC",
"Aves","Bubulcus ibis",19,37,"LC",
"Aves","Busarellus nigricollis",7,48,"LC",
"Aves","Buteo swainsoni",19,48,"LC",
"Aves","Buteogallus meridionalis",19,51,"LC",
"Aves","Buteogallus urubitinga",16,61,"LC",
"Aves","Butorides striata",19,34,"LC",
"Aves","Cacicus chrysopterus",9,21,"LC",
"Aves","Cacicus haemorrhous",1,24,"LC",
"Aves","Cacicus solitarius",14,24,"LC",
"Aves","Cairina moschata",10,73,"LC",
"Aves","Calidris alba",6,19,"LC",
"Aves","Calidris bairdii",10,17,"LC",
"Aves","Calidris canutus",8,23,"NT",
"Aves","Calidris fuscicollis",19,16,"LC",
"Aves","Calidris himantopus",8,21,"LC",
"Aves","Calidris melanotos",19,20,"LC",
"Aves","Calidris minutilla",2,13,"LC",
"Aves","Calidris subruficollis",19,20,"NT",
"Aves","Callonetta leucophrys",19,31,"LC",
"Aves","Calonectris diomedea",1,50,"LC",
"Aves","Campephilus leucopogon",7,29,"LC",
"Aves","Camptostoma obsoletum",19,9,"LC",
"Aves","Caracara plancus",19,55,"LC",
"Aves","Carduelis carduelis",14,12,"LC",
"Aves","Cariama cristata",19,70,"LC",
"Aves","Casiornis rufus",1,16,"LC",
"Aves","Cathartes aura",19,60,"LC",
"Aves","Cathartes burrovianus",19,56,"LC",
"Aves","Certhiaxis cinnamomeus",19,13,"LC",
"Aves","Chaetura meridionalis",2,12,"LC",
"Aves","Charadrius semipalmatus",5,15,"LC",
"Aves","Chauna torquata",19,85,"LC",
"Aves","Chionis albus",4,37,"LC",
"Aves","Chlidonias niger",2,24,"LC",
"Aves","Chloris chloris",10,14,"LC",
"Aves","Chloroceryle amazona",19,26,"LC",
"Aves","Chloroceryle americana",19,18,"LC",
"Aves","Chlorophonia cyanocephala",1,10,"LC",
"Aves","Chlorostilbon lucidus",19,7,"LC",
