taxon_class_name,taxon_species_name,distribution_area,body_size,conservation_status,remarks
Amphibia,Boana pulchella,19,5,LC,NA
Amphibia,Chthonerpeton indistinctum,9,435,LC,NA
Amphibia,Dendropsophus minutus,2,28,LC,NA
Amphibia,Dendropsophus nanus,3,3,LC,NA
Amphibia,Dendropsophus sanborni,19,3,LC,NA
Amphibia,Elachistocleis bicolor,19,43,LC,NA
Amphibia,Julianus uruguayus,17,3,LC,NA
Amphibia,Leptodactylus gracilis,19,45,LC,NA
Amphibia,Leptodactylus latinasus,19,4,LC,NA
Amphibia,Leptodactylus luctator,19,12,LC,NA
Amphibia,Leptodactylus macrosternum,2,8,LC,NA
Amphibia,Leptodactylus mystacinus,19,6,LC,NA
Amphibia,Limnomedusa macroglossa,19,463,LC,NA
Amphibia,Lithobates catesbeianus,NA,NA,NA,non-native: introduced
Amphibia,Lysapsus limellum,2,3,LC,NA
Amphibia,Melanophryniscus atroluteus,13,28,LC,NA
Amphibia,Melanophryniscus devincenzii,1,3,LC,NA
Amphibia,Melanophryniscus montevidensis,4,3,VU,NA
Amphibia,Melanophryniscus pachyrhynus,2,28,DD,NA
Amphibia,Odontophrynus asper,19,5,LC,NA
Amphibia,Phyllomedusa iheringii,12,75,LC,NA
Amphibia,Physalaemus biligonigerus,12,4,LC,NA
Amphibia,Physalaemus gracilis,14,4,LC,NA
Amphibia,Physalaemus henselii,17,2,LC,NA
Amphibia,Physalaemus riograndensis,19,17,LC,NA
Amphibia,Pleurodema bibroni,15,3,NT,NA
Amphibia,Pseudis minuta,19,5,LC,NA
Amphibia,Pseudopaludicola falcipes,19,2,LC,NA
Amphibia,Rhinella achavali,10,6,LC,NA
Amphibia,Rhinella arenarum,10,115,LC,NA
Amphibia,Rhinella diptycha,4,25,LC,NA
Amphibia,Rhinella dorbignyi,10,7,LC,NA
Amphibia,Scinax fuscovarius,5,55,LC,NA
Amphibia,Scinax granulatus,19,4,LC,NA
Amphibia,Scinax nasicus,2,39,LC,NA
Amphibia,Scinax squalirostris,19,3,LC,NA
Aves,Accipiter bicolor,11,35,LC,NA
Aves,Accipiter striatus,19,26,LC,NA
Aves,Actitis macularius,8,17,LC,NA
Aves,Aegolius harrisii,3,20,LC,NA
Aves,Agapornis personatus,NA,NA,NA,non-native: mascot
Aves,Agelaioides badius,19,18,LC,NA
