"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"1","aarondames","2022-01-20 15:37:35 UTC","2022-02-05 18:47:24 UTC",3,17.1318171296296,0.175112772760776,"beginner"
"2","aaronfirestein","2022-07-31 01:36:17 UTC","2022-07-31 01:36:17 UTC",1,1,1,"beginner"
"3","abelardomendesjr","2022-01-18 01:33:10 UTC","2022-08-09 23:41:23 UTC",9,204.922372685185,0.0439190698510327,"beginner"
"4","abelenc","2021-03-01 15:10:09 UTC","2022-01-22 12:33:35 UTC",34,327.891273148148,0.103692909157232,"beginner"
"5","aberquist","2023-01-26 03:45:34 UTC","2023-02-07 04:10:23 UTC",6,13.0172337962963,0.460927420824779,"beginner"
"6","abrilgn","2021-12-26 17:55:19 UTC","2021-12-26 17:55:19 UTC",1,1,1,"beginner"
"7","adashovelace","2023-12-29 21:59:12 UTC","2023-12-29 21:59:12 UTC",1,1,1,"beginner"
"8","addyelkin","2023-08-08 00:03:28 UTC","2023-08-08 00:03:28 UTC",1,1,1,"beginner"
"9","adela28193","2023-11-06 21:23:33 UTC","2024-02-20 14:00:36 UTC",8,106.692395833333,0.0749819135423389,"beginner"
"10","adiesusan","2022-10-30 14:26:02 UTC","2022-10-30 14:26:02 UTC",1,1,1,"beginner"
"11","adrian744","2022-01-31 17:06:08 UTC","2023-09-11 02:50:35 UTC",3,588.405868055556,0.00509852155267212,"beginner"
"12","adriana455","2021-02-22 10:44:30 UTC","2021-02-22 10:46:10 UTC",2,1.00115740740741,1.99768786127168,"beginner"
"13","adrianowb","2019-10-13 16:06:23 UTC","2019-10-19 14:07:35 UTC",3,6.9175,0.433682688832671,"beginner"
"14","adzebill","2023-11-14 10:57:24 UTC","2023-11-26 14:27:32 UTC",25,13.1459259259259,1.90172986983716,"beginner"
"15","aenn","2023-12-31 22:33:09 UTC","2023-12-31 22:33:09 UTC",1,1,1,"beginner"
"16","aguscarbet","2021-10-23 16:14:29 UTC","2023-01-25 14:22:41 UTC",3,459.922361111111,0.00652284005663999,"beginner"
"17","aguscf_13","2019-08-11 18:08:51 UTC","2019-08-11 18:08:51 UTC",1,1,1,"beginner"
"18","agusn","2021-07-25 19:56:16 UTC","2023-11-14 14:33:25 UTC",12,842.775798611111,0.0142386623106358,"beginner"
"19","agustin_fresco","2018-06-25 21:54:13 UTC","2018-06-25 21:54:13 UTC",1,1,1,"beginner"
"20","ajfaggiani","2020-03-28 22:40:13 UTC","2020-04-03 16:55:25 UTC",4,6.76055555555556,0.591667351466842,"beginner"
"21","alasazules","2021-01-19 00:09:54 UTC","2021-01-19 00:09:54 UTC",1,1,1,"beginner"
"22","alberto_b__schwonke","2020-11-11 18:10:45 UTC","2020-11-11 18:10:45 UTC",1,1,1,"beginner"
"23","alberto_br","2021-12-17 22:16:55 UTC","2021-12-17 22:16:55 UTC",1,1,1,"beginner"
"24","albertofr","2022-04-23 19:49:54 UTC","2022-04-23 19:49:54 UTC",1,1,1,"beginner"
"25","alcedo77","2023-02-04 20:15:29 UTC","2023-02-04 21:15:46 UTC",12,1.04186342592593,11.5178244109446,"beginner"
"26","alec_mcclay","2021-04-17 19:38:16 UTC","2021-04-17 19:38:16 UTC",2,1,2,"beginner"
"27","alecuervo","2019-11-11 01:26:02 UTC","2019-11-11 01:26:02 UTC",1,1,1,"beginner"
"28","aledau7","2023-01-31 18:43:30 UTC","2023-01-31 18:44:33 UTC",3,1.00072916666667,2.99781409388987,"beginner"
"29","alejandro_avendano","2023-07-30 01:20:30 UTC","2023-07-30 01:20:30 UTC",1,1,1,"beginner"
"30","alejandropuente","2020-12-05 02:16:49 UTC","2020-12-05 02:16:49 UTC",1,1,1,"beginner"
"31","alelallo","2022-04-06 05:10:39 UTC","2022-04-06 05:37:31 UTC",3,1.01865740740741,2.94505294732536,"beginner"
"32","alelic2016","2021-10-24 14:00:40 UTC","2021-11-04 02:53:06 UTC",9,11.536412037037,0.78013857090974,"beginner"
"33","alex-chama","2019-09-16 17:44:45 UTC","2019-09-16 17:44:45 UTC",1,1,1,"beginner"
"34","alexander_abuladze","2023-09-06 19:23:10 UTC","2023-09-06 19:23:10 UTC",1,1,1,"beginner"
"35","alexbarnard","2022-10-22 21:50:11 UTC","2022-10-22 23:07:54 UTC",4,1.05396990740741,3.79517476911589,"beginner"
"36","alicia_mercedes_zarauz_silva","2022-03-24 19:06:45 UTC","2022-03-24 19:06:45 UTC",1,1,1,"beginner"
"37","alina298","2022-09-17 17:50:45 UTC","2022-09-17 17:50:45 UTC",1,1,1,"beginner"
"38","alitameichtry","2021-05-15 11:40:09 UTC","2024-02-12 16:47:11 UTC",4,1004.21321759259,0.00398321783653598,"beginner"
"39","alschotz","2022-11-24 01:45:20 UTC","2024-02-19 00:36:01 UTC",19,452.951863425926,0.0419470622248741,"beginner"
"40","alucardo","2024-02-18 22:21:18 UTC","2024-02-18 22:29:10 UTC",3,1.00546296296296,2.98370015655217,"beginner"
"41","alvarojaramillo","2023-12-01 15:01:03 UTC","2024-01-03 23:47:44 UTC",2,34.3657523148148,0.0581974746741632,"beginner"
"42","alyssaabbotoni","2023-12-23 19:44:58 UTC","2024-01-12 21:07:53 UTC",3,21.0575810185185,0.142466506355204,"beginner"
"43","amaliafuertes","2020-03-18 21:31:25 UTC","2020-07-10 23:53:32 UTC",6,115.09869212963,0.0521291761790179,"beginner"
"44","ameguin","2019-12-27 03:30:59 UTC","2019-12-27 03:30:59 UTC",2,1,2,"beginner"
"45","ana_laura15","2022-05-07 17:43:46 UTC","2022-05-07 17:43:46 UTC",1,1,1,"beginner"
"46","ana_lucia10","2021-10-26 18:15:11 UTC","2021-10-26 18:15:11 UTC",1,1,1,"beginner"
"47","ana_ppll","2021-01-21 23:51:09 UTC","2021-01-21 23:51:09 UTC",1,1,1,"beginner"
"48","anaclara_teixeira","2022-05-17 20:30:05 UTC","2022-05-17 20:30:18 UTC",2,1.00015046296296,1.99969911934547,"beginner"
"49","anaclaudiaalvarezpereira","2020-08-06 11:10:03 UTC","2021-04-23 14:16:05 UTC",5,261.129189814815,0.0191476104358377,"beginner"
"50","anaeiletz","2023-11-08 11:47:37 UTC","2023-11-08 11:47:38 UTC",2,1.00001157407407,1.99997685211977,"beginner"
"51","anaelisarr","2024-02-26 14:49:52 UTC","2024-02-26 14:49:52 UTC",1,1,1,"beginner"
"52","anahi119","2022-10-15 18:43:52 UTC","2022-11-01 20:01:46 UTC",2,18.0540972222222,0.110778178237473,"beginner"
"53","anahi65","2019-04-01 19:39:14 UTC","2019-04-01 19:39:14 UTC",1,1,1,"beginner"
"54","anahir_bornia","2023-03-20 14:30:48 UTC","2023-03-20 14:30:48 UTC",1,1,1,"beginner"
"55","anaineszanfabrobulfo","2019-01-30 22:05:08 UTC","2019-01-30 22:05:51 UTC",2,1.00049768518519,1.9990051247643,"beginner"
"56","analia13","2021-12-04 19:09:50 UTC","2022-01-29 22:07:37 UTC",2,57.1234606481481,0.0350118843870296,"beginner"
"57","analiavergara","2020-03-27 20:43:10 UTC","2020-04-26 16:18:09 UTC",2,30.8159606481481,0.0649014328268292,"beginner"
"58","anapaolucci","2021-11-20 18:04:27 UTC","2021-11-20 18:04:27 UTC",1,1,1,"beginner"
"59","anarl","2020-09-12 19:49:59 UTC","2020-09-12 19:49:59 UTC",1,1,1,"beginner"
"60","andre156","2020-04-22 02:51:12 UTC","2020-04-22 02:51:12 UTC",1,1,1,"beginner"
"61","andrea0401","2022-05-14 18:58:08 UTC","2023-05-23 17:47:59 UTC",8,374.951284722222,0.0213361050514247,"beginner"
