"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"1","a43426928","2020-08-05 19:43:18 UTC","2020-08-05 19:43:18 UTC",1,1,1,"beginner"
"2","aavillegas","2022-08-29 18:17:10 UTC","2022-08-30 19:07:30 UTC",2,2.0349537037037,0.982823342054374,"beginner"
"3","abel58","2020-01-03 13:58:53 UTC","2020-01-03 13:58:53 UTC",1,1,1,"beginner"
"4","acosta91","2020-03-03 00:05:49 UTC","2023-11-24 21:01:34 UTC",614,1362.87204861111,0.450519181625099,"intermediate"
"5","acritarca","2023-11-24 14:11:57 UTC","2023-11-24 14:25:53 UTC",3,1.00967592592593,2.97125040121051,"beginner"
"6","adacelina","2022-10-09 20:26:18 UTC","2023-04-04 23:43:58 UTC",4,178.137268518519,0.0224545937706695,"beginner"
"7","adela2215","2022-03-30 14:37:44 UTC","2022-07-26 18:01:36 UTC",63,119.141574074074,0.528782672963771,"intermediate"
"8","adela50","2021-10-24 12:58:31 UTC","2021-10-24 12:58:31 UTC",1,1,1,"beginner"
"9","ademicheli","2020-06-07 19:45:13 UTC","2024-02-08 12:57:01 UTC",22,1341.71652777778,0.0163969061605267,"beginner"
"10","ademir29","2023-01-18 16:17:37 UTC","2023-01-18 16:17:37 UTC",1,1,1,"beginner"
"11","adm77","2022-02-26 21:58:27 UTC","2023-11-21 17:59:08 UTC",14,633.83380787037,0.0220878088643439,"beginner"
"12","adrian667","2021-10-24 14:28:02 UTC","2021-11-10 16:58:49 UTC",9,18.1047106481481,0.497108193271267,"beginner"
"13","adriana639","2021-12-28 23:51:07 UTC","2021-12-28 23:51:37 UTC",2,1.00034722222222,1.9993057965984,"beginner"
"14","adriana_garcia1","2023-02-17 18:27:06 UTC","2023-11-09 12:24:05 UTC",18,265.747905092593,0.0677333655508155,"beginner"
"15","adriana_machado","2021-05-15 16:34:34 UTC","2024-02-21 22:38:20 UTC",356,1013.25261574074,0.351343775944507,"intermediate"
"16","adrianacch","2021-10-11 20:24:04 UTC","2022-02-28 19:03:31 UTC",3,140.9440625,0.0212850399427078,"beginner"
"17","adriankounyoundjian","2020-01-01 15:52:08 UTC","2020-01-01 15:52:08 UTC",1,1,1,"beginner"
"18","adriel8","2019-11-30 18:41:30 UTC","2019-11-30 18:41:30 UTC",1,1,1,"beginner"
"19","adrimesadi","2022-05-08 13:08:28 UTC","2022-05-08 13:51:16 UTC",2,1.02972222222222,1.94227137847316,"beginner"
"20","afiorini","2021-12-15 14:25:31 UTC","2021-12-27 11:23:28 UTC",3,12.8735763888889,0.233035475875164,"beginner"
"21","agabrielam","2022-07-14 12:23:40 UTC","2022-07-14 12:23:40 UTC",1,1,1,"beginner"
"22","aguaclara22","2023-08-22 01:08:28 UTC","2023-12-06 12:44:45 UTC",9,107.483530092593,0.0837337589512261,"beginner"
"23","aguch","2023-12-20 11:20:58 UTC","2023-12-20 11:20:58 UTC",1,1,1,"beginner"
"24","aguscf","2019-06-15 13:29:01 UTC","2019-06-15 13:29:01 UTC",1,1,1,"beginner"
"25","agustin_suarez","2022-10-20 01:15:55 UTC","2023-12-13 15:42:00 UTC",2,420.601446759259,0.00475509538878202,"beginner"
"26","agustina32","2021-01-20 03:34:23 UTC","2021-01-20 03:34:23 UTC",1,1,1,"beginner"
"27","agustina50","2022-04-13 02:56:45 UTC","2022-04-13 02:56:45 UTC",1,1,1,"beginner"
"28","agustina_de_leon22","2019-01-26 15:14:25 UTC","2020-01-22 16:55:23 UTC",10,362.070115740741,0.0276189598789215,"beginner"
"29","agustinadf15","2019-12-16 02:44:35 UTC","2022-02-24 01:37:39 UTC",11,801.953518518519,0.0137165056901561,"beginner"
"30","agustinh06","2023-05-03 23:20:09 UTC","2023-05-03 23:20:09 UTC",1,1,1,"beginner"
"31","agustiniana","2022-05-22 19:01:38 UTC","2023-01-31 17:30:43 UTC",17,254.936863425926,0.0666831770484204,"beginner"
"32","ainaravanalphen","2024-01-26 20:59:54 UTC","2024-01-26 20:59:54 UTC",2,1,2,"beginner"
"33","aixaa","2019-04-09 17:05:31 UTC","2019-04-09 17:05:31 UTC",1,1,1,"beginner"
"34","akalanat","2023-11-26 21:01:48 UTC","2023-11-26 21:01:48 UTC",1,1,1,"beginner"
"35","alan30283","2024-02-17 19:53:43 UTC","2024-02-17 19:53:43 UTC",1,1,1,"beginner"
"36","alanatee","2022-11-15 18:58:05 UTC","2023-07-29 11:40:35 UTC",16,256.696180555556,0.0623304950053092,"beginner"
"37","alberto369","2019-12-19 20:22:52 UTC","2019-12-19 20:22:52 UTC",1,1,1,"beginner"
"38","alberto976","2022-05-14 21:43:55 UTC","2023-04-09 21:08:03 UTC",16,330.975092592593,0.0483420062659968,"beginner"
"39","albieni","2020-04-30 16:52:42 UTC","2021-10-31 12:06:04 UTC",6,549.800949074074,0.0109130404560135,"beginner"
"40","alcira8","2022-05-21 22:48:52 UTC","2022-05-21 22:49:47 UTC",4,1.00063657407407,3.99745532357874,"beginner"
"41","aldo141","2021-08-23 02:21:33 UTC","2021-10-11 03:01:32 UTC",9,50.0277662037037,0.179900097145127,"beginner"
"42","aldo173","2022-02-11 10:15:03 UTC","2024-02-21 16:44:30 UTC",46,741.270451388889,0.0620556234419052,"beginner"
"43","ale2703","2023-03-11 05:03:31 UTC","2023-03-11 05:03:31 UTC",1,1,1,"beginner"
"44","alecane","2021-12-15 16:50:28 UTC","2021-12-15 16:50:28 UTC",1,1,1,"beginner"
"45","aleduarte","2020-02-07 23:15:10 UTC","2023-12-26 23:35:53 UTC",230,1419.01438657407,0.162084332742594,"beginner"
"46","alejandra722","2022-08-07 15:33:51 UTC","2023-12-25 18:35:52 UTC",4,506.126400462963,0.00790316410355423,"beginner"
"47","alejandrapuglia","2022-05-22 01:50:54 UTC","2023-11-28 02:39:50 UTC",8,556.033981481482,0.014387609869967,"beginner"
"48","alejandro1560","2023-04-11 13:36:18 UTC","2023-04-11 14:24:04 UTC",2,1.0331712962963,1.93578742186275,"beginner"
"49","alejandro879","2021-11-13 22:26:37 UTC","2021-11-13 22:26:37 UTC",1,1,1,"beginner"
"50","alejandro_esteves_raviolo","2023-12-30 16:29:54 UTC","2023-12-30 16:29:54 UTC",1,1,1,"beginner"
"51","alejandromazza","2020-02-03 14:57:59 UTC","2023-01-18 22:54:16 UTC",5,1081.33075231481,0.00462393212187525,"beginner"
